location,db_band,goal,bpm_min,bpm_max,energy_min,energy_max,mood,genre_primary,genre_secondary,vocal,playlist_seed,notes
library,0-35,active,105,115,0.6,0.75,calm,pop,edm,light-vocal,Calm Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag
library,36-50,active,108,118,0.63,0.78,calm,pop,edm,light-vocal,Calm Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag
library,51-65,active,110,120,0.65,0.8,calm,pop,edm,light-vocal,Calm Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag
library,66-80,active,120,130,0.75,0.9,calm,pop,edm,light-vocal,Calm Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag
library,81-100,active,105,115,0.6,0.75,calm,pop,edm,light-vocal,Calm Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag
library,0-35,focus,70,85,0.35,0.5,calm,lo-fi,instrumental hiphop,instrumental,Calm Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag
library,36-50,focus,73,88,0.38,0.53,calm,lo-fi,instrumental hiphop,instrumental,Calm Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag
library,51-65,focus,75,90,0.4,0.55,calm,lo-fi,instrumental hiphop,instrumental,Calm Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag
library,66-80,focus,85,100,0.5,0.65,calm,lo-fi,instrumental hiphop,light-vocal,Calm Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag
library,81-100,focus,70,85,0.35,0.5,calm,lo-fi,instrumental hiphop,instrumental,Calm Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag
library,0-35,relax,55,70,0.25,0.4,calm,jazz,acoustic,light-vocal,Calm Jazz Relax,Input dB >100 is OUTLIER: clamp to 100 and flag
library,36-50,relax,58,73,0.28,0.43,calm,jazz,acoustic,light-vocal,Calm Jazz Relax,Input dB >100 is OUTLIER: clamp to 100 and flag
library,51-65,relax,60,75,0.3,0.45,calm,jazz,acoustic,light-vocal,Calm Jazz Relax,Input dB >100 is OUTLIER: clamp to 100 and flag
library,66-80,relax,70,85,0.4,0.55,calm,jazz,acoustic,light-vocal,Calm Jazz Relax,Input dB >100 is OUTLIER: clamp to 100 and flag
library,81-100,relax,55,70,0.25,0.4,calm,jazz,acoustic,instrumental,Calm Jazz Relax,Input dB >100 is OUTLIER: clamp to 100 and flag
library,0-35,reading,53,60,0.25,0.3,calm,piano,classical,instrumental,Calm Piano Reading,Input dB >100 is OUTLIER: clamp to 100 and flag
library,36-50,reading,56,63,0.28,0.33,calm,piano,classical,instrumental,Calm Piano Reading,Input dB >100 is OUTLIER: clamp to 100 and flag
library,51-65,reading,58,65,0.3,0.35,calm,piano,classical,instrumental,Calm Piano Reading,Input dB >100 is OUTLIER: clamp to 100 and flag
library,66-80,reading,68,75,0.4,0.45,calm,piano,classical,instrumental,Calm Piano Reading,Input dB >100 is OUTLIER: clamp to 100 and flag
library,81-100,reading,53,60,0.25,0.3,calm,piano,classical,instrumental,Calm Piano Reading,Input dB >100 is OUTLIER: clamp to 100 and flag
library,0-35,neutral,55,57,0.27,0.29,calm,ambient,acoustic,light-vocal,Calm Ambient Neutral,Input dB >100 is OUTLIER: clamp to 100 and flag
library,36-50,neutral,58,60,0.3,0.32,calm,ambient,acoustic,light-vocal,Calm Ambient Neutral,Input dB >100 is OUTLIER: clamp to 100 and flag
library,51-65,neutral,60,62,0.32,0.34,calm,ambient,acoustic,light-vocal,Calm Ambient Neutral,Input dB >100 is OUTLIER: clamp to 100 and flag
library,66-80,neutral,70,72,0.42,0.44,calm,ambient,acoustic,light-vocal,Calm Ambient Neutral,Input dB >100 is OUTLIER: clamp to 100 and flag
library,81-100,neutral,55,57,0.27,0.29,calm,ambient,acoustic,instrumental,Calm Ambient Neutral,Input dB >100 is OUTLIER: clamp to 100 and flag
library,0-35,meditate,55,60,0.25,0.32,serene,ambient drone,binaural,no-vocal,Serene Ambient Drone Meditate,Input dB >100 is OUTLIER: clamp to 100 and flag
library,36-50,meditate,55,60,0.25,0.32,serene,ambient drone,binaural,no-vocal,Serene Ambient Drone Meditate,Input dB >100 is OUTLIER: clamp to 100 and flag
library,51-65,meditate,55,60,0.25,0.32,serene,ambient drone,binaural,no-vocal,Serene Ambient Drone Meditate,Input dB >100 is OUTLIER: clamp to 100 and flag
library,66-80,meditate,55,60,0.25,0.32,serene,ambient drone,binaural,no-vocal,Serene Ambient Drone Meditate,Input dB >100 is OUTLIER: clamp to 100 and flag
library,81-100,meditate,55,60,0.25,0.32,serene,ambient drone,binaural,no-vocal,Serene Ambient Drone Meditate,Input dB >100 is OUTLIER: clamp to 100 and flag
library,0-35,sleep,55,55,0.2,0.22,soothing,ambient,white noise,no-vocal,Soothing Ambient Sleep,Input dB >100 is OUTLIER: clamp to 100 and flag
library,36-50,sleep,55,55,0.2,0.22,soothing,ambient,white noise,no-vocal,Soothing Ambient Sleep,Input dB >100 is OUTLIER: clamp to 100 and flag
library,51-65,sleep,55,55,0.2,0.22,soothing,ambient,white noise,no-vocal,Soothing Ambient Sleep,Input dB >100 is OUTLIER: clamp to 100 and flag
library,66-80,sleep,55,55,0.2,0.22,soothing,ambient,white noise,no-vocal,Soothing Ambient Sleep,Input dB >100 is OUTLIER: clamp to 100 and flag
library,81-100,sleep,55,55,0.2,0.22,soothing,ambient,white noise,no-vocal,Soothing Ambient Sleep,Input dB >100 is OUTLIER: clamp to 100 and flag
home,0-35,active,105,115,0.6,0.75,neutral,pop,edm,vocal-heavy,Neutral Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag
home,36-50,active,108,118,0.63,0.78,neutral,pop,edm,vocal-heavy,Neutral Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag
home,51-65,active,110,120,0.65,0.8,neutral,pop,edm,vocal-heavy,Neutral Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag
home,66-80,active,120,130,0.75,0.9,neutral,pop,edm,vocal-heavy,Neutral Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag
home,81-100,active,105,115,0.6,0.75,neutral,pop,edm,vocal-heavy,Neutral Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag
home,0-35,focus,70,85,0.35,0.5,neutral,lo-fi,instrumental hiphop,instrumental,Neutral Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag
home,36-50,focus,73,88,0.38,0.53,neutral,lo-fi,instrumental hiphop,instrumental,Neutral Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag
home,51-65,focus,75,90,0.4,0.55,neutral,lo-fi,instrumental hiphop,instrumental,Neutral Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag
home,66-80,focus,85,100,0.5,0.65,neutral,lo-fi,instrumental hiphop,light-vocal,Neutral Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag
home,81-100,focus,70,85,0.35,0.5,neutral,lo-fi,instrumental hiphop,instrumental,Neutral Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag
home,0-35,relax,55,70,0.25,0.4,neutral,jazz,acoustic,light-vocal,Neutral Jazz Relax,Input dB >100 is OUTLIER: clamp to 100 and flag
home,36-50,relax,58,73,0.28,0.43,neutral,jazz,acoustic,light-vocal,Neutral Jazz Relax,Input dB >100 is OUTLIER: clamp to 100 and flag
home,51-65,relax,60,75,0.3,0.45,neutral,jazz,acoustic,light-vocal,Neutral Jazz Relax,Input dB >100 is OUTLIER: clamp to 100 and flag
home,66-80,relax,70,85,0.4,0.55,neutral,jazz,acoustic,light-vocal,Neutral Jazz Relax,Input dB >100 is OUTLIER: clamp to 100 and flag
home,81-100,relax,55,70,0.25,0.4,neutral,jazz,acoustic,instrumental,Neutral Jazz Relax,Input dB >100 is OUTLIER: clamp to 100 and flag
home,0-35,reading,53,60,0.25,0.3,neutral,piano,classical,instrumental,Neutral Piano Reading,Input dB >100 is OUTLIER: clamp to 100 and flag
home,36-50,reading,56,63,0.28,0.33,neutral,piano,classical,instrumental,Neutral Piano Reading,Input dB >100 is OUTLIER: clamp to 100 and flag
home,51-65,reading,58,65,0.3,0.35,neutral,piano,classical,instrumental,Neutral Piano Reading,Input dB >100 is OUTLIER: clamp to 100 and flag
home,66-80,reading,68,75,0.4,0.45,neutral,piano,classical,instrumental,Neutral Piano Reading,Input dB >100 is OUTLIER: clamp to 100 and flag
home,81-100,reading,53,60,0.25,0.3,neutral,piano,classical,instrumental,Neutral Piano Reading,Input dB >100 is OUTLIER: clamp to 100 and flag
home,0-35,neutral,55,57,0.27,0.29,neutral,ambient,acoustic,mixed,Neutral Ambient Neutral,Input dB >100 is OUTLIER: clamp to 100 and flag
home,36-50,neutral,58,60,0.3,0.32,neutral,ambient,acoustic,mixed,Neutral Ambient Neutral,Input dB >100 is OUTLIER: clamp to 100 and flag
home,51-65,neutral,60,62,0.32,0.34,neutral,ambient,acoustic,mixed,Neutral Ambient Neutral,Input dB >100 is OUTLIER: clamp to 100 and flag
home,66-80,neutral,70,72,0.42,0.44,neutral,ambient,acoustic,mixed,Neutral Ambient Neutral,Input dB >100 is OUTLIER: clamp to 100 and flag
home,81-100,neutral,55,57,0.27,0.29,neutral,ambient,acoustic,instrumental,Neutral Ambient Neutral,Input dB >100 is OUTLIER: clamp to 100 and flag
home,0-35,meditate,55,60,0.25,0.32,neutral,ambient drone,binaural,no-vocal,Neutral Ambient Drone Meditate,Input dB >100 is OUTLIER: clamp to 100 and flag
home,36-50,meditate,55,60,0.25,0.32,neutral,ambient drone,binaural,no-vocal,Neutral Ambient Drone Meditate,Input dB >100 is OUTLIER: clamp to 100 and flag
home,51-65,meditate,55,60,0.25,0.32,neutral,ambient drone,binaural,no-vocal,Neutral Ambient Drone Meditate,Input dB >100 is OUTLIER: clamp to 100 and flag
home,66-80,meditate,55,60,0.25,0.32,neutral,ambient drone,binaural,no-vocal,Neutral Ambient Drone Meditate,Input dB >100 is OUTLIER: clamp to 100 and flag
home,81-100,meditate,55,60,0.25,0.32,neutral,ambient drone,binaural,no-vocal,Neutral Ambient Drone Meditate,Input dB >100 is OUTLIER: clamp to 100 and flag
home,0-35,sleep,55,55,0.2,0.22,neutral,ambient,white noise,no-vocal,Neutral Ambient Sleep,Input dB >100 is OUTLIER: clamp to 100 and flag
home,36-50,sleep,55,55,0.2,0.22,neutral,ambient,white noise,no-vocal,Neutral Ambient Sleep,Input dB >100 is OUTLIER: clamp to 100 and flag
home,51-65,sleep,55,55,0.2,0.22,neutral,ambient,white noise,no-vocal,Neutral Ambient Sleep,Input dB >100 is OUTLIER: clamp to 100 and flag
home,66-80,sleep,55,55,0.2,0.22,neutral,ambient,white noise,no-vocal,Neutral Ambient Sleep,Input dB >100 is OUTLIER: clamp to 100 and flag
home,81-100,sleep,55,55,0.2,0.22,neutral,ambient,white noise,no-vocal,Neutral Ambient Sleep,Input dB >100 is OUTLIER: clamp to 100 and flag
office,0-35,active,105,115,0.6,0.75,focus,pop,edm,light-vocal,Focus Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag
office,36-50,active,108,118,0.63,0.78,focus,pop,edm,light-vocal,Focus Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag
office,51-65,active,110,120,0.65,0.8,focus,pop,edm,light-vocal,Focus Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag
office,66-80,active,120,130,0.75,0.9,focus,pop,edm,light-vocal,Focus Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag
office,81-100,active,105,115,0.6,0.75,focus,pop,edm,light-vocal,Focus Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag
office,0-35,focus,70,85,0.35,0.5,focus,lo-fi,instrumental hiphop,light-vocal,Focus Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag
office,36-50,focus,73,88,0.38,0.53,focus,lo-fi,instrumental hiphop,light-vocal,Focus Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag
office,51-65,focus,75,90,0.4,0.55,focus,lo-fi,instrumental hiphop,light-vocal,Focus Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag
office,66-80,focus,85,100,0.5,0.65,focus,lo-fi,instrumental hiphop,light-vocal,Focus Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag
office,81-100,focus,70,85,0.35,0.5,focus,lo-fi,instrumental hiphop,instrumental,Focus Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag
office,0-35,relax,55,70,0.25,0.4,focus,jazz,acoustic,light-vocal,Focus Jazz Relax,Input dB >100 is OUTLIER: clamp to 100 and flag
office,36-50,relax,58,73,0.28,0.43,focus,jazz,acoustic,light-vocal,Focus Jazz Relax,Input dB >100 is OUTLIER: clamp to 100 and flag
office,51-65,relax,60,75,0.3,0.45,focus,jazz,acoustic,light-vocal,Focus Jazz Relax,Input dB >100 is OUTLIER: clamp to 100 and flag
office,66-80,relax,70,85,0.4,0.55,focus,jazz,acoustic,light-vocal,Focus Jazz Relax,Input dB >100 is OUTLIER: clamp to 100 and flag
office,81-100,relax,55,70,0.25,0.4,focus,jazz,acoustic,instrumental,Focus Jazz Relax,Input dB >100 is OUTLIER: clamp to 100 and flag
office,0-35,reading,53,60,0.25,0.3,focus,piano,classical,light-vocal,Focus Piano Reading,Input dB >100 is OUTLIER: clamp to 100 and flag
office,36-50,reading,56,63,0.28,0.33,focus,piano,classical,light-vocal,Focus Piano Reading,Input dB >100 is OUTLIER: clamp to 100 and flag
office,51-65,reading,58,65,0.3,0.35,focus,piano,classical,light-vocal,Focus Piano Reading,Input dB >100 is OUTLIER: clamp to 100 and flag
office,66-80,reading,68,75,0.4,0.45,focus,piano,classical,light-vocal,Focus Piano Reading,Input dB >100 is OUTLIER: clamp to 100 and flag
office,81-100,reading,53,60,0.25,0.3,focus,piano,classical,instrumental,Focus Piano Reading,Input dB >100 is OUTLIER: clamp to 100 and flag
office,0-35,neutral,55,57,0.27,0.29,focus,ambient,acoustic,light-vocal,Focus Ambient Neutral,Input dB >100 is OUTLIER: clamp to 100 and flag
office,36-50,neutral,58,60,0.3,0.32,focus,ambient,acoustic,light-vocal,Focus Ambient Neutral,Input dB >100 is OUTLIER: clamp to 100 and flag
office,51-65,neutral,60,62,0.32,0.34,focus,ambient,acoustic,light-vocal,Focus Ambient Neutral,Input dB >100 is OUTLIER: clamp to 100 and flag
office,66-80,neutral,70,72,0.42,0.44,focus,ambient,acoustic,light-vocal,Focus Ambient Neutral,Input dB >100 is OUTLIER: clamp to 100 and flag
office,81-100,neutral,55,57,0.27,0.29,focus,ambient,acoustic,instrumental,Focus Ambient Neutral,Input dB >100 is OUTLIER: clamp to 100 and flag
office,0-35,meditate,55,60,0.25,0.32,focus,ambient drone,binaural,no-vocal,Focus Ambient Drone Meditate,Input dB >100 is OUTLIER: clamp to 100 and flag
office,36-50,meditate,55,60,0.25,0.32,focus,ambient drone,binaural,no-vocal,Focus Ambient Drone Meditate,Input dB >100 is OUTLIER: clamp to 100 and flag
office,51-65,meditate,55,60,0.25,0.32,focus,ambient drone,binaural,no-vocal,Focus Ambient Drone Meditate,Input dB >100 is OUTLIER: clamp to 100 and flag
office,66-80,meditate,55,60,0.25,0.32,focus,ambient drone,binaural,no-vocal,Focus Ambient Drone Meditate,Input dB >100 is OUTLIER: clamp to 100 and flag
office,81-100,meditate,55,60,0.25,0.32,focus,ambient drone,binaural,no-vocal,Focus Ambient Drone Meditate,Input dB >100 is OUTLIER: clamp to 100 and flag
office,0-35,sleep,55,55,0.2,0.22,focus,ambient,white noise,no-vocal,Focus Ambient Sleep,Input dB >100 is OUTLIER: clamp to 100 and flag
office,36-50,sleep,55,55,0.2,0.22,focus,ambient,white noise,no-vocal,Focus Ambient Sleep,Input dB >100 is OUTLIER: clamp to 100 and flag
office,51-65,sleep,55,55,0.2,0.22,focus,ambient,white noise,no-vocal,Focus Ambient Sleep,Input dB >100 is OUTLIER: clamp to 100 and flag
office,66-80,sleep,55,55,0.2,0.22,focus,ambient,white noise,no-vocal,Focus Ambient Sleep,Input dB >100 is OUTLIER: clamp to 100 and flag
